key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,5.987999678,-0.422222222,-0.011111111,1,0,0,18.62800002,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.238888889,-0.19,1,0,0,26.12899995,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.223333333,0.252222222,1,0,0,33.37899995,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.235555556,0.225555556,1,0,0,40.99599981,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.324444444,-0.015555556,1,0,0,48.398,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.41,0.038888889,1,0,0,55.68099999,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.3,0.045555556,1,0,0,63.18199992,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.08,-0.308888889,1,0,0,71.53299999,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.005555556,0.394444444,1,0,0,78.75099993,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.233333333,0.23,1,0,0,85.8349998,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.33,-0.113333333,1,0,0,93.51899981,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.386666667,-0.048888889,1,0,0,100.803,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,BruG,2021-04-10_12h24.00.095,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
