key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order
space,19.63399982,0.456481502,-0.103703769,1,0,0,32.89100003,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.34814814,0.263888885,1,0,0,40.773,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.445370364,-0.184259269,1,0,0,48.87199998,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.209259249,0.268518515,1,0,0,57.27100015,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.289814832,0.025925919,1,0,0,68.4690001,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.299074065,-0.05648149,1,0,0,76.15200019,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.018518506,0.299074071,1,0,0,83.35300016,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.291666658,0.037962956,1,0,0,92.31599998,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.337962981,0.060185179,1,0,0,99.50200009,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.30185187,0.264814811,1,0,0,106.4990001,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.237962953,0.191666662,1,0,0,113.881,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.265740758,0.250925922,1,0,0,121.5800002,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.385185204,-0.042592601,1,0,0,128.296,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.390740733,0.013888882,1,0,0,135.4450002,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.449999993,-0.100925935,1,0,0,142.411,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.319444462,-0.202777788,1,0,0,149.6430001,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,135,3,4,0,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,-0.25462962,0.131481476,1,0,0,1,0,16,0,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,0,0,0,-1,1,1,1,-1,1,1,1,1,-1,1,-1,45,7,4,2,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,0.266666684,0.224999996,1,0,0,1,0,16,10,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,1,1,45,3,4,4,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,0.213888905,0.269444441,1,0,0,1,0,16,4,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,1,-1,1,-1,1,180,3,4,3,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,-0.312037028,-0.012037045,1,0,0,1,0,16,3,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,0,0,0,1,1,-1,1,-1,-1,0,7,4,5,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,0.392592725,-0.010185193,1,0,0,1,0,16,13,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,1,1,1,1,1,0,0,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,0,7,4,3,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,0.303703721,-0.044444453,1,0,0,1,0,16,11,1,15,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,1,-1,-1,1,1,0,0,0,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,0,7,4,0,Carme H,2021-04-10_12h23.55.027,task,3.2.3,Win32,60,0.31388902,-0.075000009,1,0,0,1,0,16,8,1,15,,,,,,,,,,,,
