key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,8.750999928,0.236111145,0.299074068,1,0,0,21.55900002,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.328703687,-0.270370393,1,0,0,28.75700021,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.356481519,0.05185181,1,0,0,35.90700006,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.292592575,0.236111103,1,0,0,43.15500021,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.417592632,-0.094444462,1,0,0,50.33800006,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.276851887,-0.168518538,1,0,0,57.50400019,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.062036956,0.366666663,1,0,0,64.55300021,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.345370407,-0.057407424,1,0,0,71.602,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.295370353,0.006481467,1,0,0,80.55100012,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.104629606,-0.270370393,1,0,0,88.20000005,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,Eva T,2021-04-10_12h24.10.367,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
