key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,21.04699993,0.17625,0.18,1,0,0,34.76300001,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.0475,-0.01875,1,0,0,51.59800005,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.2175,0.18375,1,0,0,59.83299994,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.2975,-0.21125,1,0,0,68.9849999,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.025,0.3425,1,0,0,77.25300002,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.25,0.31125,1,0,0,85.93799996,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.36125,0.00375,1,0,0,93.55500007,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.27,0.29875,1,0,0,101.0699999,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.38,-0.09375,1,0,0,109.823,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.27375,0.17375,1,0,0,118.24,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,Oriol,2021-04-09_21h43.26.098,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
