key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,80.41099977,0.300959233,-0.28057554,1,0,0,93.35299993,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.284172662,0.213429257,1,0,0,100.553,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.146282974,0.26618705,1,0,0,108.721,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.428057554,-0.016786571,1,0,0,115.5869999,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.394484412,-0.079136691,1,0,0,122.5599999,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.010791367,-0.365707434,1,0,0,130.2779999,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.348920863,-0.087529976,1,0,0,137.9760001,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.027577938,0.347721823,1,0,0,144.9809999,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.221822542,0.149880096,1,0,0,152.25,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.142685851,-0.291366906,1,0,0,159.3150001,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,Queralt,2021-04-10_12h22.56.838,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
