key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,20.60099983,-0.337962955,0.051851845,1,0,0,33.21799994,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.371296289,0.015740734,1,0,0,40.3829999,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.003703717,-0.40000007,1,0,0,47.48199987,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.354629622,0.001851844,1,0,0,54.48199987,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.391666686,0.029629623,1,0,0,61.18099999,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.198148138,0.170370337,1,0,0,68.07999992,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.000925913,0.354629627,1,0,0,75.09500003,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.213888905,0.225925922,1,0,0,81.92799997,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.449999993,0.018518511,1,0,0,89.56099987,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.248148165,-0.2138889,1,0,0,96.25899982,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.259259276,0.232407403,1,0,0,102.9749999,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.287962954,0.268518515,1,0,0,109.8079998,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.004629616,-0.315740753,1,0,0,117.5909998,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.273148139,0.22407407,1,0,0,124.6729999,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.29259261,-0.217592603,1,0,0,131.8049998,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.315740759,-0.012962971,1,0,0,138.4879999,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,1,1,45,3,4,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.288888906,0.233333329,1,0,0,1,0,16,4,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,1,-1,1,-1,1,1,-1,1,-1,0,0,0,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,0,7,4,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.346296428,0.013888882,1,0,0,1,0,16,9,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,135,3,4,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.273148139,0.338888886,1,0,0,1,0,16,0,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,1,1,-1,-1,1,1,0,0,0,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,7,4,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.346296428,0.019444437,1,0,0,1,0,16,15,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,1,-1,1,-1,1,180,3,4,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.414814808,0.016666659,1,0,0,1,0,16,3,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,1,-1,1,1,0,0,0,0,0,0,-1,1,1,225,3,4,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.235185175,-0.301851864,1,0,0,1,0,16,7,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,0,0,0,1,1,-1,1,-1,-1,0,7,4,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.083333348,0.276851849,1,0,0,1,0,16,13,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,1,1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,3,4,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.36111113,0.06666666,1,0,0,1,0,16,5,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,1,-1,-1,1,1,0,0,0,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,0,7,4,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.423148168,0.021296289,1,0,0,1,0,16,8,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,1,-1,90,3,4,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.030555569,0.329629627,1,0,0,1,0,16,6,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,1,-1,1,1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,135,3,4,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.249074065,0.212962959,1,0,0,1,0,16,2,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,270,7,4,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.175925915,-0.185185195,1,0,0,1,0,16,14,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,0,0,0,-1,-1,1,-1,1,1,1,1,1,-1,1,1,270,7,4,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.014814828,-0.311111123,1,0,0,1,0,16,12,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,4,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,-0.268518509,0.250925922,1,0,0,1,0,16,1,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,0,0,0,-1,1,1,1,-1,1,1,1,1,-1,1,-1,45,7,4,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.166666682,0.19444444,1,0,0,1,0,16,10,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,1,1,1,1,1,0,0,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,0,7,4,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,0.270370388,-0.015740748,1,0,0,1,0,16,11,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,-1,1,1,0,0,0,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,180,7,7,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.381481474,-0.012962971,1,0,0,325.497,1,0,16,8,1,15,,
,,,,,,,,,,,,,,0,0,0,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,90,7,7,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.005555569,0.323148146,1,0,0,339.4449999,1,0,16,11,1,15,,
,,,,,,,,,,,,,,0,0,0,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,90,7,7,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.306481473,-0.208333344,1,0,0,352.76,1,0,16,13,1,15,,
,,,,,,,,,,,,,,0,0,0,1,-1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,1,225,3,7,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.28518512,-0.253703715,1,0,0,366.408,1,0,16,2,1,15,,
,,,,,,,,,,,,,,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,1,225,7,7,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.183333266,0.179629597,1,0,0,380.0569999,1,0,16,15,1,15,,
,,,,,,,,,,,,,,1,-1,-1,0,0,0,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,90,7,7,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.013888876,0.32222222,1,0,0,393.6209998,1,0,16,12,1,15,,
,,,,,,,,,,,,,,-1,1,-1,0,0,0,1,-1,1,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,-1,1,-1,0,3,7,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.319444462,0.043518512,1,0,0,406.6029999,1,0,16,1,1,15,,
,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,1,1,-1,1,-1,-1,0,0,0,1,1,-1,225,3,7,4,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.289814749,-0.216666677,1,0,0,419.8179998,1,0,16,4,1,15,,
,,,,,,,,,,,,,,-1,1,-1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,7,0,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.147222238,-0.290740753,1,0,0,433.1159999,1,0,16,0,1,15,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,1,1,90,3,7,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.038888959,0.386111109,1,0,0,446.2649999,1,0,16,6,1,15,,
,,,,,,,,,,,,,,0,0,0,0,0,0,1,-1,1,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,135,3,7,7,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.242592583,0.282407404,1,0,0,459.2459998,1,0,16,7,1,15,,
,,,,,,,,,,,,,,0,0,0,1,1,-1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,1,-1,1,1,-1,45,3,7,5,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.225925943,0.16944444,1,0,0,472.395,1,0,16,5,1,15,,
,,,,,,,,,,,,,,1,-1,-1,1,1,1,-1,1,-1,0,0,0,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,45,7,7,1,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.263888906,0.285185182,1,0,0,485.8929999,1,0,16,9,1,15,,
,,,,,,,,,,,,,,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,-1,-1,90,7,7,2,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.011111098,0.374999998,1,0,0,499.875,1,0,16,10,1,15,,
,,,,,,,,,,,,,,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,0,0,0,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,45,7,7,6,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,0.195370387,-0.17962964,1,0,0,512.806,1,0,16,14,1,15,,
,,,,,,,,,,,,,,0,0,0,0,0,0,1,-1,-1,1,-1,1,0,0,0,-1,1,1,0,0,0,0,0,0,1,-1,-1,90,3,7,3,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,-0.330555547,0.215740737,1,0,0,526.6209998,1,0,16,3,1,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiff,2021-04-09_19h52.24.375,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,space,0.754999876
