key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,37.5940001,-0.312380952,0.273333333,1,0,0,51.63600016,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.24,-0.322857143,1,0,0,60.06500006,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.199047619,-0.278095238,1,0,0,68.51900005,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.212380952,0.308571429,1,0,0,86.12800002,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.015238095,0.34952381,1,0,0,93.4690001,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.345714286,0.108571429,1,0,0,101.1600001,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.43047619,0.046666667,1,0,0,108.651,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.365714286,-0.045714286,1,0,0,116.378,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.28952381,0.306666667,1,0,0,123.4020002,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.34,-0.058095238,1,0,0,130.9180002,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.425714286,0.132380952,1,0,0,138.2510002,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,rafa,2021-04-09_19h04.26.028,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
