key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,24.23399973,-0.016103719,0.358320228,1,0,0,37.69199991,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.359775933,0.035418023,1,0,0,47.42400002,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.381169569,-0.001484578,1,0,0,56.49000001,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.203391927,-0.182790188,1,0,0,64.47399998,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.254613105,0.24852478,1,0,0,72.55699992,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.217300822,-0.121638997,1,0,0,79.94099998,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.268523899,0.071440362,1,0,0,87.2559998,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.352376031,-0.017552863,1,0,0,95.65699983,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.243416273,0.200330065,1,0,0,103.3399999,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.208833483,0.201798842,1,0,0,109.8899999,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,LauraB,2021-04-10_12h23.36.697,task,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
