key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,18.40400004,0.396527778,0.0125,1,0,0,30.73800015,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.25,-0.258333333,1,0,0,38.62800002,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.2375,0.220833333,1,0,0,46.11800003,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.196527778,0.197916667,1,0,0,57.06000018,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.327083333,0.043055556,1,0,0,65.852,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.225694444,0.270138889,1,0,0,72.74100018,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.327777778,0.078472222,1,0,0,81.53200006,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.289583333,-0.172222222,1,0,0,89.19000006,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.306944444,0.039583333,1,0,0,96.99600005,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.41875,-0.015972222,1,0,0,104.1200001,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.235416667,0.265972222,1,0,0,111.8930001,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,martac,2021-04-10_12h23.36.156,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
