key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_inter.thisRepN,trials_inter.thisTrialN,trials_inter.thisN,trials_inter.thisIndex,trials_inter.ran,trials_inter.order,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trials_long.thisRepN,trials_long.thisTrialN,trials_long.thisN,trials_long.thisIndex,trials_long.ran,trials_long.order,final_key.keys,final_key.rt
space,0.753000021,-0.359201373,0.013888874,1,0,0,13.26399994,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.323784705,0.201388859,1,0,0,20.55599999,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.381423596,0.010416652,1,0,0,28.5079999,1,0,16,15,1,15,-1,1,-1,0,0,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,180,7,1,7,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.425520873,0.088888877,1,0,0,36.50600004,1,0,16,0,1,15,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,0,1,-1,-1,0,3,1,0,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.333506886,0.006249985,1,0,0,43.65199995,1,0,16,8,1,15,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,1,1,1,1,180,7,1,0,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.262326423,0.309722217,1,0,0,51.28399992,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.203993088,-0.177777798,1,0,0,59.11400008,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.349826426,0.059722209,1,0,0,66.74499989,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.023437527,-0.311111135,1,0,0,74.55799985,1,0,16,13,1,15,1,1,1,-1,1,-1,1,1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,270,7,1,5,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.005381971,0.399999997,1,0,0,82.33899999,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.244270867,0.31180555,1,0,0,89.55500007,1,0,16,1,1,15,0,0,0,-1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,45,3,1,1,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.385243094,0.018749986,1,0,0,96.91700006,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.248090216,0.270833327,1,0,0,104.414,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.273784704,0.29930555,1,0,0,112.0450001,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.219965396,-0.29791669,1,0,0,119.7590001,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.316145816,-0.02569446,1,0,0,127.4070001,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,0,0,0,-1,-1,1,-1,1,1,1,1,1,-1,1,1,270,7,4,4,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.024131972,-0.337500025,1,0,0,1,0,16,12,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,1,-1,1,1,0,0,0,0,0,0,-1,1,1,225,3,4,7,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,-0.157118034,-0.152777797,1,0,0,1,0,16,7,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,1,-1,1,1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,135,3,4,2,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,-0.264756883,0.239583326,1,0,0,1,0,16,2,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,1,1,-1,-1,1,1,0,0,0,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,7,4,7,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.378298734,0.015972208,1,0,0,1,0,16,15,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,1,1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,3,4,5,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.378298734,0.007638874,1,0,0,1,0,16,5,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,270,7,4,6,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.010243082,-0.354166692,1,0,0,1,0,16,14,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,1,1,1,1,1,0,0,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,0,7,4,3,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.310243091,-0.008333348,1,0,0,1,0,16,11,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,135,3,4,0,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,-0.266840217,0.231944436,1,0,0,1,0,16,0,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,0,0,0,-1,1,1,1,-1,1,1,1,1,-1,1,-1,45,7,4,2,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.301909758,0.225694436,1,0,0,1,0,16,10,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,1,1,45,3,4,4,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.245659756,0.239583326,1,0,0,1,0,16,4,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,1,-1,1,-1,1,1,-1,1,-1,0,0,0,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,0,7,4,1,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.222048729,-0.184027798,1,0,0,1,0,16,9,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,1,-1,1,-1,1,180,3,4,3,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,-0.339062484,0.012499985,1,0,0,1,0,16,3,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,0,0,0,1,1,-1,1,-1,-1,0,7,4,5,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,0.35052087,-0.002777793,1,0,0,1,0,16,13,1,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,4,1,pepe,2021-04-09_15h17.13.359,task,3.2.3,Win32,60,-0.215451369,0.298611105,1,0,0,1,0,16,1,1,15,,,,,,,,,,,,,,
